"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"66","Delhi Government Allopathic Dispensary,Seelampur","Public/ Government","Dispensary","337, Double Storey Welcome, Near DCP Office, Welcome, Seelampur","Delhi","North East Delhi","NA","110053","011 22826102","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"67","Seed PUHC, Zafrabad-I","Public/ Government","Dispensary","H.No.559, Street No.21, Zafarbad","Delhi","North East Delhi","NA","110053","NA","NA","09990697860","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"68","Seed PUHC, Brahmpuri","Public/ Government","Dispensary","Property No. X- 10/10 B, Gali No.10, Brahmpuri","Delhi","North East Delhi","NA","110053","NA","NA","09810816393","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"69","Delhi Government Allopathic Dispensary, Arvind Nagar","Public/ Government","Dispensary","Ghonda Chowk, Gamri Road, Arvind Nagar, Ghonda","Delhi","North East Delhi","NA","110053","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"70","Delhi Government Allopathic Dispensary, Yamuna Vihar","Public/ Government","Dispensary","B-2 Block, Yamuna Vihar","Delhi","North East Delhi","NA","110053","011 22911996","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"71","Delhi Government Allopathic Dispensary, Johripur","Public/ Government","Dispensary","Shani Bazar Gali,Guzzar Mohalla, Johripur","Delhi","North East Delhi","NA","110094","011 22817651","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"72","Seed PUHC Bhagirathi Vihar","Public/ Government","Dispensary","Indra Vihar gali No.2, Bhagirathi Vihar","Delhi","North East Delhi","NA","110094","NA","NA","09311352501","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"73","Delhi Government Allopathic Dispensary, Bhagirathi Vihar","Public/ Government","Dispensary","H.no.60/73, Gai No.7, Bhagirathi Vihar","Delhi","North East Delhi","NA","110094","NA","NA","09818771775","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"74","Seed PUHC, Mustafabad","Public/ Government","Dispensary","Khasra No.1/2, Shop No.897, Gali No.9, Old Mustafabad","Delhi","North East Delhi","NA","110094","NA","NA","09891877280","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"75","Seed PUHC, New Mustafabad","Public/ Government","Dispensary","Property No.201/4, New Mustafabad, 25 foota Road","Delhi","North East Delhi","NA","110094","NA","NA","09891119411","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"76","Seed PUHC, Shiv Vihar Phase-II","Public/ Government","Dispensary","Khasra No.82, Punchal Vihar, Shiv Vihar","Delhi","North East Delhi","NA","110094","NA","NA","09958678768","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"77","Seed PUHC, Shiv Vihar Phase-V","Public/ Government","Dispensary","Khasra No.49/5/3, Gali No.6, Phase-V, Shiv Vihar","Delhi","North East Delhi","NA","110094","NA","NA","09871187641","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"78","Delhi Government Allopathic Dispensary, Shiv Vihar Tiraha","Public/ Government","Dispensary","SPS Double Story Building, Shiv Vihar Tiraha, Mustafabad","Delhi","North East Delhi","NA","110094","NA","NA","09810204270","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"79","Seed PUHC, Nehru Vihar","Public/ Government","Dispensary","D-2/177, Shiv Mandir Gali, Dayalpur, Nehru Vihar","Delhi","North East Delhi","NA","110094","NA","NA","09868499924","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"80","Seed PUHC, Chandu Nagar","Public/ Government","Dispensary","H.No.B-200, gali No.2, ChanduNagar","Delhi","North East Delhi","NA","110094","NA","NA","09871346678","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"81","Delhi Government Allopathic Dispensary, Khajoori Khas","Public/ Government","Dispensary","Village Khajoori Khas Near Sarvodaya Vidyalaya","Delhi","North East Delhi","NA","110094","011 22966493","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"82","Delhi Government Allopathic Dispensary,Dayalpur","Public/ Government","Dispensary","Dhanpat Mkt, MainKarawal nagar, Village Dayalpur","Delhi","North East Delhi","NA","110094","011 22964058","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"83","Seed PUHC, Sonia Vihar","Public/ Government","Dispensary","0 Pushta, Khasra No.335, gali No.9 Part-III, A-BlockMain Circular Road, Sonia Vihar Pushta","Delhi","North East Delhi","NA","110094","NA","NA","09999491879","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"84","Seed PUHC, Sonia Vihar 4.5 Pushta","Public/ Government","Dispensary","Khasra No.647-235-236, Gali No.16, 4th Pushta, Sonia Vihar","Delhi","North East Delhi","NA","110094","NA","NA","09811778297","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"85","Seed PUHC, Chauhan Patti","Public/ Government","Dispensary","Khasra No.167, Transformer Gali, Chauhan Patti","Delhi","North East Delhi","NA","110094","NA","NA","09811941450","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"86","Seed PUHC, Shaheed Bhagat Singh","Public/ Government","Dispensary","H.No.8 Gali No.1, Shaheed Bhagat Singh Colony, Karawal Nagar","Delhi","North East Delhi","NA","110094","NA","NA","09213796500","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"87","Seed PUHC, Rajiv Nagar","Public/ Government","Dispensary","Shri Ram Colony","Delhi","North East Delhi","NA","110094","NA","NA","09555162643","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"88","Delhi Government Allopathic Dispensary, Narela","Public/ Government","Dispensary","Punjabi Colony, Narela","Delhi","North Delhi","NA","110040","011 27207443","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"89","Delhi Government Allopathic Dispensary, Holambi Kalan Phase-1","Public/ Government","Dispensary","Phase- 1,Village Holambi, Near Metro Viha","Delhi","North Delhi","NA","110040","011 27700319","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"90","Delhi Government Allopathic Dispensary, Holambi Kalan Phase-2","Public/ Government","Dispensary","Phase- 2, Village Holambi, Near Metro Vihar","Delhi","North Delhi","NA","110040","011 27700432","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"91","Delhi Government Allopathic Dispensary, Khera Kalan","Public/ Government","Dispensary","Village khera Kalan","Delhi","North Delhi","NA","NA","011 27843924","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"92","Delhi Government Allopathic Dispensary, Sannoth","Public/ Government","Dispensary","Village Sannoth","Delhi","North Delhi","NA","NA","011 27940061","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"93","Delhi Government Allopathic Dispensary, Bhorgarh","Public/ Government","Dispensary","Village Bhorgarh, Narela","Delhi","North Delhi","NA","110040","011 27781004","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"94","Delhi Government Allopathic Dispensary, Bakhtawarpur","Public/ Government","Dispensary","Village Bakhtawarpur","Delhi","North Delhi","NA","NA","011 27722561","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"95","Delhi Government Allopathic Dispensary, Mukhmailpur","Public/ Government","Dispensary","Village Mukhmailpur","Delhi","North Delhi","NA","NA","011 27248806","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"96","Delhi Government Allopathic Dispensary, Jahangirpuri H Block","Public/ Government","Dispensary","Jahangirpuri H-Block, Resettlement Colony, NearBJRM Hospital","Delhi","North Delhi","NA","110033","011 27638649","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"97","Seed PUHC, Swarup Nagar","Public/ Government","Dispensary","D-75, Gali No.1, Swarup Nagar","Delhi","North Delhi","NA","NA","011 27812075","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"98","Delhi Government Allopathic Dispensary,Bhalawa JJ Colony","Public/ Government","Dispensary","Block -D1, Behind MCD Primary School, BhalaswaJ.J.Dairy","Delhi","North Delhi","NA","NA","011 27812914","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"99","Delhi Government Allopathic Dispensary, Bhalaswa Dairy","Public/ Government","Dispensary","Kalender Colony, Bhalaswa dairy","Delhi","North Delhi","NA","NA","011 27812161","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"100","Delhi Government Allopathic Dispensary, Jahangirpuri B Block","Public/ Government","Dispensary","JahangirpuriB-Block, Near BJRM Hospital","Delhi","North Delhi","NA","110033","011 27633689","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"101","Delhi Government Allopathic Dispensary, Bawana","Public/ Government","Dispensary","Sector-5, Bawana Industrial Area","Delhi","North Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"102","Delhi Government Allopathic Dispensary, Harewali","Public/ Government","Dispensary","Village Harewali","Delhi","North Delhi","NA","NA","011 27752950","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"103","Delhi Government Allopathic Dispensary, Katewara","Public/ Government","Dispensary","Village Katewara","Delhi","North Delhi","NA","NA","011 27741874","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"104","Delhi Government Allopathic Dispensary, Darya Pur Kalan","Public/ Government","Dispensary","Village Daryapur","Delhi","North Delhi","NA","NA","011 27751202","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"105","Delhi Government Allopathic Dispensary, Gurmandi","Public/ Government","Dispensary","MCD Building RajpuraGurmandi","Delhi","North Delhi","NA","NA","011 27418261","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"106","Delhi Government Allopathic Dispensary, Model Town","Public/ Government","Dispensary","D.D.A. Flats Part-1, Model Town","Delhi","North Delhi","NA","110009","011 27922997","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"107","Seed PUHC, Budh Vihar Ph-I","Public/ Government","Dispensary","V-26, Budh Vihar","Delhi","North West Delhi","NA","NA","011 27531895","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"108","Delhi Government Allopathic Dispensary, Majra Dabas","Public/ Government","Dispensary","Village Majra Dabas","Delhi","North West Delhi","NA","NA","011 27755536","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"109","Seed PUHC, Begumpur","Public/ Government","Dispensary","Near Indraprastha Public School, Begumpur","Delhi","North West Delhi","NA","NA","011 27581424","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"110","Delhi Government Allopathic Dispensary, Jaunti","Public/ Government","Dispensary","Village Jaunti","Delhi","North West Delhi","NA","NA","011 25951922","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"111","Delhi Government Allopathic Dispensary, Savda Ghevra","Public/ Government","Dispensary","Savda Ghevra","Delhi","North West Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"112","Delhi Government Allopathic Dispensary, Rani Khera","Public/ Government","Dispensary","Village Rani Khera","Delhi","North West Delhi","NA","NA","011 25954508","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"113","Delhi Government Allopathic Dispensary, Nizampur","Public/ Government","Dispensary","Village Nizampur","Delhi","North West Delhi","NA","NA","011 25952916","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"114","Delhi Government Allopathic Dispensary, Madan Pur Dabas","Public/ Government","Dispensary","Madan Pur Dabas Village","Delhi","North West Delhi","NA","NA","011 25951099","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"115","Seed PUHC, Laxmi Vihar","Public/ Government","Dispensary","C-1/1, Khasra No. 21/8, Prem Nagar-III, Suleman Nagar, Kirari","Delhi","North West Delhi","NA","110086","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"116","Seed PUHC, Aman Vihar","Public/ Government","Dispensary","Plot no. 89, Khasra No. 518, Pratap Vihar-II, Suleman Nagar, Kirari","Delhi","North West Delhi","NA","110086","011 25180543","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"117","Delhi Government Allopathic Dispensary, Kirari","Public/ Government","Dispensary","Village Kirari","Delhi","North West Delhi","NA","NA","011 25967788","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"118","Seed PUHC, Prem Nagar III","Public/ Government","Dispensary","B-49, Agar Nagar, Prem Nagar - III","Delhi","North West Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"119","Seed PUHC, Prem Nagar II","Public/ Government","Dispensary","U- 1686, Prem Nagar-II","Delhi","North West Delhi","NA","NA","011 25186103","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"120","Seed PUHC, Inder Enclave - II","Public/ Government","Dispensary","Plot No. B-117, Inder Enclave - II","Delhi","North West Delhi","NA","110086","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"121","Delhi Government Allopathic Dispensary, Sultanpuri","Public/ Government","Dispensary","B-3 Block, Resettlement colony, Sultanpuri","Delhi","North West Delhi","NA","110083","011 25968044","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
